Date,Open,High,Low,Close,Volume
11-10-2017,,72.00,68.00,69.80,7847
12-10-2017,,73.00,69.00,72.80,12171
13-10-2017,,73.00,72.00,72.70,3375
16-10-2017,,73.00,71.10,72.70,71
17-10-2017,,71.10,70.00,70.50,1801
19-10-2017,,71.00,70.10,71.00,1540
20-10-2017,,72.80,70.00,72.20,15100
23-10-2017,,72.60,68.30,68.50,1168
24-10-2017,,72.50,69.10,69.10,1600
25-10-2017,,73.00,69.50,72.20,756
27-10-2017,,72.40,69.10,71.80,2594
30-10-2017,,72.00,69.50,69.50,1001
31-10-2017,,70.50,69.00,70.50,2501
01-11-2017,,71.00,71.00,70.50,1
02-11-2017,,71.00,71.00,70.50,1
06-11-2017,,70.00,69.10,69.10,999
07-11-2017,,71.50,69.00,70.10,44645
08-11-2017,,69.10,69.10,70.10,8
10-11-2017,,70.10,70.10,70.10,30
13-11-2017,,71.60,70.50,70.50,10026
14-11-2017,,71.00,69.00,69.10,5491
15-11-2017,,69.50,69.00,69.10,20196
16-11-2017,,71.00,70.00,71.00,7416
17-11-2017,,73.00,70.00,73.00,13159
20-11-2017,,74.00,72.50,72.70,8711
21-11-2017,,72.60,72.50,72.60,2510
22-11-2017,,73.30,72.50,73.00,685
23-11-2017,,72.50,72.00,72.00,3065
24-11-2017,,71.00,69.60,70.40,851
27-11-2017,,70.00,70.00,70.00,37696
28-11-2017,,70.00,70.00,70.00,4100
29-11-2017,,70.00,69.50,70.00,53269
30-11-2017,,72.90,70.00,71.60,5836
04-12-2017,,70.40,70.40,71.60,5
05-12-2017,,70.00,70.00,70.00,20511
06-12-2017,,71.90,70.10,70.00,61
08-12-2017,,72.70,71.00,71.00,15245
11-12-2017,,71.10,71.00,71.10,10675
12-12-2017,,74.40,72.70,74.00,158343
13-12-2017,,74.00,72.20,73.50,6245
14-12-2017,,73.50,70.50,72.30,3448
15-12-2017,,73.50,73.50,73.50,950
19-12-2017,,71.60,71.60,71.60,100
20-12-2017,,72.40,71.50,71.50,10841
21-12-2017,,72.40,72.00,72.00,40558
22-12-2017,,72.50,72.00,72.50,12929
26-12-2017,,73.00,73.00,73.00,500
27-12-2017,,73.00,73.00,73.00,1000
28-12-2017,,73.00,72.50,72.90,969
29-12-2017,,72.60,72.20,72.50,3100
08-01-2018,,74.00,72.60,72.60,1000
10-01-2018,,74.00,73.00,72.60,60
12-01-2018,,74.60,72.70,73.10,172807
16-01-2018,,74.50,73.90,73.90,506
17-01-2018,,74.40,74.00,74.00,5007
18-01-2018,,74.00,73.90,73.90,16750
19-01-2018,,74.30,73.90,74.00,189363
22-01-2018,,74.40,74.00,74.30,2873
